"iso2","year","sector","un","ets","country","ratio"
"AT",2001,"Total",70390857.43,NA,"Austria",NA
"AT",2002,"Energy",13380097.16,NA,"Austria",NA
"AT",2002,"Metals",10728184.64,NA,"Austria",NA
"AT",2002,"Minerals",4501980.73,NA,"Austria",NA
"AT",2002,"Chemicals",2086784.8,NA,"Austria",NA
"AT",2002,"Paper",2260000.11,NA,"Austria",NA
"AT",2002,"Residual",39189490.77,NA,"Austria",NA
"AT",2002,"Transport",21544085.11,NA,"Austria",NA
"AT",2002,"Total",72146538.21,NA,"Austria",NA
"AT",2003,"Energy",15965271.93,NA,"Austria",NA
"AT",2003,"Metals",10730268.94,NA,"Austria",NA
"AT",2003,"Minerals",4516489.68,NA,"Austria",NA
"AT",2003,"Chemicals",2226067.7,NA,"Austria",NA
"AT",2003,"Paper",2436033.53,NA,"Austria",NA
"AT",2003,"Residual",41890117.44,NA,"Austria",NA
"AT",2003,"Transport",23298560.85,NA,"Austria",NA
"AT",2003,"Total",77764249.22,NA,"Austria",NA
"AT",2004,"Energy",15899196.33,NA,"Austria",NA
"AT",2004,"Metals",10928481.04,NA,"Austria",NA
"AT",2004,"Minerals",4746375.02,NA,"Austria",NA
"AT",2004,"Chemicals",2152941.09,NA,"Austria",NA
"AT",2004,"Paper",2297873.03,NA,"Austria",NA
"AT",2004,"Residual",42027679.47,NA,"Austria",NA
"AT",2004,"Transport",23812575.78,NA,"Austria",NA
"AT",2004,"Total",78052545.98,NA,"Austria",NA
"AT",2005,"Energy",16194772.33,19366576,"Austria",1.19585355109466
"AT",2005,"Metals",11859546.11,7307700,"Austria",0.616187156929904
"AT",2005,"Minerals",4545099.3,4565339,"Austria",1.00445308202617
"AT",2005,"Chemicals",2194278.2,75116,"Austria",0.0342326693123962
"AT",2005,"Paper",2293928.89,2058424,"Austria",0.897335575210442
"AT",2005,"Residual",42279055.05,0,"Austria",0
"AT",2005,"Transport",24146843.71,NA,"Austria",NA
"AT",2005,"Total",79366679.88,33373155,"Austria",0.420493273127453
"AT",2006,"Energy",15039192.77,18105048,"Austria",1.20385769880653
"AT",2006,"Metals",11921876.28,7406386,"Austria",0.621243319931517
"AT",2006,"Minerals",4825091.46,4773860,"Austria",0.989382282092535
"AT",2006,"Chemicals",2072005.76,72323,"Austria",0.0349048257472026
"AT",2006,"Paper",2195130.5,2026755,"Austria",0.923295904275395
"AT",2006,"Residual",40635167.74,0,"Austria",0
"AT",2006,"Transport",22739152.11,NA,"Austria",NA
"AT",2006,"Total",76688464.51,32384372,"Austria",0.422284788291427
"AT",2007,"Energy",13757091.05,16992275,"Austria",1.23516482795976
"AT",2007,"Metals",12189354.56,7576821,"Austria",0.621593289677842
"AT",2007,"Minerals",5160957.64,5124513,"Austria",0.992938395828414
"AT",2007,"Chemicals",1896952.28,65933,"Austria",0.0347573319029406
"AT",2007,"Paper",2183401.18,1991718,"Austria",0.912208905190754
"AT",2007,"Residual",38844360.42,0,"Austria",0
"AT",2007,"Transport",22916976.5,NA,"Austria",NA
"AT",2007,"Total",74032117.13,31751260,"Austria",0.428884938468597
"AT",2008,"Energy",13582006.99,17378582,"Austria",1.27952974938058
"AT",2008,"Metals",12513942.96,7598509,"Austria",0.607203422956948
"AT",2008,"Minerals",5121544.73,5094124,"Austria",0.994646003999657
"AT",2008,"Chemicals",2169232.22,57385,"Austria",0.026454060321859
"AT",2008,"Paper",2190429.06,1948468,"Austria",0.889537139358441
"AT",2008,"Residual",38229115.09,1906,"Austria",4.98572879731284e-05
"AT",2008,"Transport",21528828.39,NA,"Austria",NA
"AT",2008,"Total",73806271.05,32078974,"Austria",0.434637511740271
